SRA acc,Biosample acc,Bioproject acc,Taxonomia acc,Instrumento,Amostras,Bases,Tamanho,Organismo,Estratégia,Recurso,Seleção,Protocolo,Criação
DRR1003223,SAMD01881010,PRJDB41644,233155,Illumina HiSeq 4000,27941684,8.4,3207.9,Culex pipiens molestus,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003222,SAMD01881009,PRJDB41644,233155,Illumina HiSeq 4000,30609915,9.2,3514.28,Culex pipiens molestus,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003221,SAMD01881008,PRJDB41644,233155,Illumina HiSeq 4000,26285476,7.9,3018.85,Culex pipiens molestus,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003220,SAMD01881007,PRJDB41644,233155,Illumina HiSeq 4000,23862137,7.2,2750.49,Culex pipiens molestus,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003219,SAMD01881006,PRJDB41644,233155,Illumina HiSeq 4000,19347274,5.8,2264.02,Culex pipiens molestus,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003218,SAMD01881005,PRJDB41644,233155,Illumina HiSeq 4000,19924234,6.0,2345.21,Culex pipiens molestus,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003217,SAMD01881004,PRJDB41644,233155,Illumina HiSeq 4000,23951746,7.2,2753.27,Culex pipiens molestus,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003216,SAMD01881003,PRJDB41644,233155,Illumina HiSeq 4000,25346894,7.6,2915.57,Culex pipiens molestus,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003215,SAMD01881002,PRJDB41644,7176,Illumina HiSeq 4000,24649404,7.4,2818.42,Culex quinquefasciatus,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003214,SAMD01881001,PRJDB41644,7176,Illumina HiSeq 4000,23812873,7.1,2751.72,Culex quinquefasciatus,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003213,SAMD01881000,PRJDB41644,7176,Illumina HiSeq 4000,23449603,7.0,2789.08,Culex quinquefasciatus,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003212,SAMD01880999,PRJDB41644,7176,Illumina HiSeq 4000,19477267,5.8,2319.39,Culex quinquefasciatus,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003211,SAMD01880998,PRJDB41644,7176,Illumina HiSeq 4000,25693044,7.7,2932.61,Culex quinquefasciatus,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003210,SAMD01880997,PRJDB41644,7176,Illumina HiSeq 4000,24174585,7.3,2780.93,Culex quinquefasciatus,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003209,SAMD01880996,PRJDB41644,7176,Illumina HiSeq 4000,24693355,7.4,2801.12,Culex quinquefasciatus,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003208,SAMD01880995,PRJDB41644,7176,Illumina HiSeq 4000,24686319,7.4,2844.32,Culex quinquefasciatus,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003207,SAMD01880994,PRJDB41644,42434,Illumina HiSeq 4000,25315936,7.6,2928.4,Culex pipiens pallens,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003206,SAMD01880993,PRJDB41644,42434,Illumina HiSeq 4000,24117352,7.2,2752.03,Culex pipiens pallens,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003205,SAMD01880992,PRJDB41644,42434,Illumina HiSeq 4000,25333365,7.6,2919.68,Culex pipiens pallens,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003204,SAMD01880991,PRJDB41644,42434,Illumina HiSeq 4000,24710905,7.4,2857.32,Culex pipiens pallens,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003203,SAMD01880990,PRJDB41644,42434,Illumina HiSeq 4000,22853522,6.9,2597.2,Culex pipiens pallens,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003202,SAMD01880989,PRJDB41644,42434,Illumina HiSeq 4000,19962233,6.0,2260.0,Culex pipiens pallens,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003201,SAMD01880988,PRJDB41644,42434,Illumina HiSeq 4000,23526664,7.1,2673.62,Culex pipiens pallens,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
DRR1003200,SAMD01880987,PRJDB41644,42434,Illumina HiSeq 4000,25119232,7.5,2899.28,Culex pipiens pallens,RNA-Seq,Transcriptomic,Random,"Antennae from every 10 mosquitoes of the same species and gender were pooled into one biological replicate, and 4 biological replicates were set for each species-gender combination. Total RNA was extracted from antenna samples using the TRIzol method",2026/06/01
SRR38806964,SAMN60370400,PRJNA1469630,7175,Illumina NovaSeq 6000,33367456,10.0,3282.16,Culex pipiens,WGS,Genomic,Random,,2026/05/22
ERR17229771,SAMEA114402099,PRJEB76569,561267,Illumina NovaSeq X,39769405,12.0,2881.63,Culex theileri,RNA-Seq,Transcriptomic,Polya,RNA PolyA,2026/05/19
SRR38681735,SAMN60250521,PRJNA1467627,7175,Illumina NovaSeq X Plus,131463103,39.4,12270.82,Culex pipiens,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/18
SRR38681736,SAMN60250520,PRJNA1467627,7175,Illumina NovaSeq X Plus,99417788,29.8,9247.76,Culex pipiens,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/18
SRR38681737,SAMN60250519,PRJNA1467627,7175,Illumina NovaSeq X Plus,98429182,29.5,9107.65,Culex pipiens,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/18
SRR38681738,SAMN60250518,PRJNA1467627,7175,Illumina NovaSeq X Plus,106957803,32.1,9977.18,Culex pipiens,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/18
SRR38681739,SAMN60250517,PRJNA1467627,7175,Illumina NovaSeq X Plus,94778707,28.4,8683.15,Culex pipiens,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/18
SRR38681740,SAMN60250516,PRJNA1467627,7175,Illumina NovaSeq X Plus,98942198,29.7,9293.13,Culex pipiens,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/18
SRR38678996,SAMN60248370,PRJNA1467506,7175,Illumina NovaSeq X Plus,212366970,63.7,19383.4,Culex pipiens,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/18
SRR38678997,SAMN60248369,PRJNA1467506,7175,Illumina NovaSeq X Plus,187372497,56.2,17392.77,Culex pipiens,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/18
SRR38485826,SAMN59700540,PRJNA1464248,7175,Illumina NovaSeq X Plus,102592237,30.8,9653.06,Culex pipiens,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/10
SRR38433670,SAMN59248827,PRJNA1463107,2912049,PromethION,3685311,2.7,2280.32,Culex sp.,WGS,Genomic,Other,,2026/05/13
SRR38433671,SAMN59248826,PRJNA1463107,1085689,PromethION,18983831,8.5,7633.62,Culex iolambdis,WGS,Genomic,Other,,2026/05/13
SRR38433672,SAMN59248825,PRJNA1463107,1085689,PromethION,11852847,11.7,9074.46,Culex iolambdis,WGS,Genomic,Other,,2026/05/13
SRR38433673,SAMN59248824,PRJNA1463107,7176,PromethION,25123881,11.8,10138.21,Culex quinquefasciatus,WGS,Genomic,Other,,2026/05/13
SRR38433674,SAMN59248823,PRJNA1463107,7176,PromethION,18108963,11.3,9687.6,Culex quinquefasciatus,WGS,Genomic,Other,,2026/05/13
SRR38363794,SAMN58317896,PRJNA1461858,7175,Illumina NovaSeq X Plus,85080804,25.5,8267.54,Culex pipiens,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/04
SRR38363445,SAMN58298827,PRJNA1461836,7175,Illumina NovaSeq X Plus,87321713,26.2,8488.9,Culex pipiens,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/04
ERR16843294,SAMEA120919945,PRJEB108586,943103,Illumina NovaSeq X Plus,5717415,1.7,502.63,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843308,SAMEA120919934,PRJEB108586,943103,Illumina NovaSeq X Plus,40070120,12.0,3297.82,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843304,SAMEA120919937,PRJEB108586,943103,Illumina NovaSeq X Plus,16140877,4.8,1414.14,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843317,SAMEA120919927,PRJEB108586,943103,Illumina NovaSeq X Plus,53540131,16.1,4360.65,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843316,SAMEA120919928,PRJEB108586,943103,Illumina NovaSeq X Plus,35089274,10.5,2869.51,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843309,SAMEA120919933,PRJEB108586,943103,Illumina NovaSeq X Plus,36206338,10.9,2996.63,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843318,SAMEA120919926,PRJEB108586,943103,Illumina NovaSeq X Plus,36595225,11.0,2992.25,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843319,SAMEA120919925,PRJEB108586,943103,Illumina NovaSeq X Plus,38021944,11.4,3115.91,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843293,SAMEA120919946,PRJEB108586,943103,Illumina NovaSeq X Plus,35616515,10.7,2927.76,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843311,SAMEA120919931,PRJEB108586,943103,Illumina NovaSeq X Plus,5744871,1.7,504.35,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843297,SAMEA120919943,PRJEB108586,943103,Illumina NovaSeq X Plus,31605810,9.5,2609.95,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843312,SAMEA120919931,PRJEB108586,943103,Illumina NovaSeq X Plus,28438936,8.5,2339.89,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843313,SAMEA120919930,PRJEB108586,943103,Illumina NovaSeq X Plus,50632364,15.2,4154.87,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843298,SAMEA120919942,PRJEB108586,943103,Illumina NovaSeq X Plus,31376500,9.4,2609.91,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843300,SAMEA120919940,PRJEB108586,943103,Illumina NovaSeq X Plus,8540436,2.6,662.96,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843314,SAMEA120919929,PRJEB108586,943103,Illumina NovaSeq X Plus,7604856,2.3,671.3,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843296,SAMEA120919944,PRJEB108586,943103,Illumina NovaSeq X Plus,35807607,10.7,2916.49,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843310,SAMEA120919932,PRJEB108586,943103,Illumina NovaSeq X Plus,30472671,9.1,2522.59,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843315,SAMEA120919929,PRJEB108586,943103,Illumina NovaSeq X Plus,24914367,7.5,2054.87,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843301,SAMEA120919940,PRJEB108586,943103,Illumina NovaSeq X Plus,27006177,8.1,2173.59,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843307,SAMEA120919935,PRJEB108586,943103,Illumina NovaSeq X Plus,29942738,9.0,2460.45,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843305,SAMEA120919937,PRJEB108586,943103,Illumina NovaSeq X Plus,18392831,5.5,1524.1,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843320,SAMEA120919924,PRJEB108586,943103,Illumina NovaSeq X Plus,39215207,11.8,3168.86,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843295,SAMEA120919945,PRJEB108586,943103,Illumina NovaSeq X Plus,27857413,8.4,2259.34,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843292,SAMEA120919947,PRJEB108586,943103,Illumina NovaSeq X Plus,31227489,9.4,2574.39,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843303,SAMEA120919938,PRJEB108586,943103,Illumina NovaSeq X Plus,33284162,10.0,2717.64,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843299,SAMEA120919941,PRJEB108586,943103,Illumina NovaSeq X Plus,34033687,10.2,2807.24,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843306,SAMEA120919936,PRJEB108586,943103,Illumina NovaSeq X Plus,32595191,9.8,2711.07,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843302,SAMEA120919939,PRJEB108586,943103,Illumina NovaSeq X Plus,66716329,20.0,5370.74,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/19
ERR16843345,SAMEA120919903,PRJEB108586,943103,Illumina NovaSeq X Plus,47073451,14.1,3856.79,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843343,SAMEA120919905,PRJEB108586,943103,Illumina NovaSeq X Plus,31322972,9.4,2569.5,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843346,SAMEA120919902,PRJEB108586,943103,Illumina NovaSeq X Plus,27394985,8.2,2249.96,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843347,SAMEA120919902,PRJEB108586,943103,Illumina NovaSeq X Plus,4245249,1.3,371.86,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843344,SAMEA120919904,PRJEB108586,943103,Illumina NovaSeq X Plus,30126989,9.0,2484.22,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843328,SAMEA120919918,PRJEB108586,943103,Illumina NovaSeq X Plus,28915825,8.7,2343.67,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843327,SAMEA120919918,PRJEB108586,943103,Illumina NovaSeq X Plus,5499178,1.6,477.73,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843322,SAMEA120919922,PRJEB108586,943103,Illumina NovaSeq X Plus,37097586,11.1,3032.81,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843336,SAMEA120919911,PRJEB108586,943103,Illumina NovaSeq X Plus,41295413,12.4,3388.94,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843326,SAMEA120919919,PRJEB108586,943103,Illumina NovaSeq X Plus,31738140,9.5,2617.72,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843331,SAMEA120919916,PRJEB108586,943103,Illumina NovaSeq X Plus,27309204,8.2,2233.56,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843338,SAMEA120919909,PRJEB108586,943103,Illumina NovaSeq X Plus,40043764,12.0,3276.92,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843321,SAMEA120919923,PRJEB108586,943103,Illumina NovaSeq X Plus,43085334,12.9,3478.54,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843342,SAMEA120919906,PRJEB108586,943103,Illumina NovaSeq X Plus,33648707,10.1,2751.63,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843339,SAMEA120919908,PRJEB108586,943103,Illumina NovaSeq X Plus,51144461,15.3,4160.42,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843333,SAMEA120919914,PRJEB108586,943103,Illumina NovaSeq X Plus,36569406,11.0,2988.53,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843329,SAMEA120919917,PRJEB108586,943103,Illumina NovaSeq X Plus,31599690,9.5,2582.08,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843335,SAMEA120919912,PRJEB108586,943103,Illumina NovaSeq X Plus,36022877,10.8,2958.73,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843324,SAMEA120919920,PRJEB108586,943103,Illumina NovaSeq X Plus,11525783,3.5,1010.86,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843334,SAMEA120919913,PRJEB108586,943103,Illumina NovaSeq X Plus,31375691,9.4,2589.1,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843323,SAMEA120919921,PRJEB108586,943103,Illumina NovaSeq X Plus,42401881,12.7,3421.6,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843330,SAMEA120919916,PRJEB108586,943103,Illumina NovaSeq X Plus,4382187,1.3,377.78,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843337,SAMEA120919910,PRJEB108586,943103,Illumina NovaSeq X Plus,32992548,9.9,2683.81,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843340,SAMEA120919907,PRJEB108586,943103,Illumina NovaSeq X Plus,4283564,1.3,374.98,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843325,SAMEA120919920,PRJEB108586,943103,Illumina NovaSeq X Plus,22078693,6.6,1825.95,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843332,SAMEA120919915,PRJEB108586,943103,Illumina NovaSeq X Plus,38727432,11.6,3213.65,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16843341,SAMEA120919907,PRJEB108586,943103,Illumina NovaSeq X Plus,27496299,8.2,2262.69,Culex perexiguus,WGS,Genomic,Pcr,,2026/03/18
ERR16838315,SAMEA120920147,PRJEB108586,7175,Illumina NovaSeq X Plus,25331021,7.6,2449.93,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838310,SAMEA120920150,PRJEB108586,7175,Illumina NovaSeq X Plus,29204111,8.8,2786.8,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838365,SAMEA120920050,PRJEB108586,7175,Illumina NovaSeq X Plus,27528517,8.3,2531.14,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838309,SAMEA120920150,PRJEB108586,7175,Illumina NovaSeq X Plus,5735931,1.7,537.9,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838323,SAMEA120920137,PRJEB108586,7175,Illumina NovaSeq X Plus,24906277,7.5,2391.31,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838363,SAMEA120920056,PRJEB108586,7175,Illumina NovaSeq X Plus,8574718,2.6,710.08,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838368,SAMEA120920045,PRJEB108586,7175,Illumina NovaSeq X Plus,34819894,10.4,3222.73,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838335,SAMEA120920114,PRJEB108586,7175,Illumina NovaSeq X Plus,3241036,1.0,298.93,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838356,SAMEA120920067,PRJEB108586,7175,Illumina NovaSeq X Plus,69186108,20.8,6295.13,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838361,SAMEA120920057,PRJEB108586,7175,Illumina NovaSeq X Plus,35791615,10.7,3319.25,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838313,SAMEA120920148,PRJEB108586,7175,Illumina NovaSeq X Plus,30288246,9.1,2878.09,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838304,SAMEA120920153,PRJEB108586,7175,Illumina NovaSeq X Plus,42408990,12.7,4032.01,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838334,SAMEA120920115,PRJEB108586,7175,Illumina NovaSeq X Plus,29531892,8.9,2737.73,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838326,SAMEA120920134,PRJEB108586,7175,Illumina NovaSeq X Plus,19761948,5.9,1637.84,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838355,SAMEA120920068,PRJEB108586,7175,Illumina NovaSeq X Plus,32200745,9.7,3010.35,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838311,SAMEA120920149,PRJEB108586,7175,Illumina NovaSeq X Plus,5209540,1.6,486.84,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838351,SAMEA120920079,PRJEB108586,7175,Illumina NovaSeq X Plus,37261762,11.2,3422.27,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838357,SAMEA120920066,PRJEB108586,7175,Illumina NovaSeq X Plus,18872268,5.7,1597.59,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838343,SAMEA120920104,PRJEB108586,7175,Illumina NovaSeq X Plus,38459758,11.5,3597.67,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838327,SAMEA120920134,PRJEB108586,7175,Illumina NovaSeq X Plus,22593602,6.8,1904.45,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838360,SAMEA120920058,PRJEB108586,7175,Illumina NovaSeq X Plus,40706566,12.2,3687.29,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838329,SAMEA120920128,PRJEB108586,7175,Illumina NovaSeq X Plus,21302788,6.4,2058.72,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838353,SAMEA120920073,PRJEB108586,7175,Illumina NovaSeq X Plus,39168864,11.8,3565.68,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838314,SAMEA120920147,PRJEB108586,7175,Illumina NovaSeq X Plus,6123590,1.8,579.79,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838321,SAMEA120920142,PRJEB108586,7175,Illumina NovaSeq X Plus,54431586,16.3,5162.56,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838324,SAMEA120920136,PRJEB108586,7175,Illumina NovaSeq X Plus,34706241,10.4,3268.0,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838331,SAMEA120920126,PRJEB108586,7175,Illumina NovaSeq X Plus,15579728,4.7,1477.8,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838367,SAMEA120920046,PRJEB108586,7175,Illumina NovaSeq X Plus,40994579,12.3,3851.05,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838359,SAMEA120920059,PRJEB108586,7175,Illumina NovaSeq X Plus,35630680,10.7,3268.21,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838362,SAMEA120920056,PRJEB108586,7175,Illumina NovaSeq X Plus,27113755,8.1,2474.34,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838341,SAMEA120920106,PRJEB108586,7175,Illumina NovaSeq X Plus,7873057,2.4,738.08,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838337,SAMEA120920113,PRJEB108586,7175,Illumina NovaSeq X Plus,120345571,36.1,11206.98,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838301,SAMEA120920044,PRJEB108586,7175,Illumina NovaSeq X Plus,38662511,11.6,3591.75,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838344,SAMEA120920103,PRJEB108586,7175,Illumina NovaSeq X Plus,27166596,8.1,2566.85,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838333,SAMEA120920125,PRJEB108586,7175,Illumina NovaSeq X Plus,34014805,10.2,3220.0,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838342,SAMEA120920105,PRJEB108586,7175,Illumina NovaSeq X Plus,32275153,9.7,3019.14,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838350,SAMEA120920080,PRJEB108586,7175,Illumina NovaSeq X Plus,43903122,13.2,4005.32,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838346,SAMEA120920092,PRJEB108586,7175,Illumina NovaSeq X Plus,35907687,10.8,3016.02,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838364,SAMEA120920052,PRJEB108586,7175,Illumina NovaSeq X Plus,38512679,11.6,3511.74,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838332,SAMEA120920126,PRJEB108586,7175,Illumina NovaSeq X Plus,17492258,5.2,1619.39,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
ERR16838317,SAMEA120920146,PRJEB108586,7175,Illumina NovaSeq X Plus,25905655,7.8,2471.06,Culex pipiens,WGS,Genomic,Pcr,,2026/03/17
